outcome,moderator,level,contrast,est_pp,ci_lo,ci_hi,p
acc,Age (per +10 years),age~29,U-G,-2.6994947482756553,-11.698170310226196,6.299180813674887,0.5565553227076951
acc,Age (per +10 years),age~29,S-G,-2.8199486921812045,-9.455767502660139,3.8158701182977297,0.40489905677826477
acc,Age (per +10 years),age~42,U-G,-2.884911478641425,-11.197610965658557,5.427788008375707,0.49637597360984065
acc,Age (per +10 years),age~42,S-G,6.03320218860832,-2.468666260907125,14.535070638123765,0.1642696592643369
acc,Sex (female vs male),no,U-G,-2.338060973736839,-10.528850476214371,5.852728528740692,0.5758398087427468
acc,Sex (female vs male),no,S-G,1.2482775740821124,-6.810811820305415,9.30736696846964,0.7614478215956275
acc,Sex (female vs male),yes,U-G,-5.574279364470862,-15.613885252900634,4.465326523958909,0.2764941784146189
acc,Sex (female vs male),yes,S-G,3.514796515866313,-5.423390892834701,12.452983924567326,0.4408706074316261
acc,First language English (vs other),no,U-G,-3.4480224890751905,-10.714808637990208,3.818763659839826,0.3523790091552945
acc,First language English (vs other),no,S-G,2.18771861309255,-4.057803690955047,8.433240917140147,0.49236772333774326
acc,First language English (vs other),yes,U-G,-3.774121492937181,-13.693484315059706,6.145241329185344,0.4558320093101381
acc,First language English (vs other),yes,S-G,1.3043499500277957,-9.253826506523312,11.862526406578903,0.8086774031786514
acc,Employment (part-time vs full-time),no,U-G,-5.227220115023486,-12.207904190709455,1.7534639606624838,0.14220079126369214
acc,Employment (part-time vs full-time),no,S-G,2.2427219593951233,-4.77541510696164,9.260859025751888,0.5310999631681339
acc,Employment (part-time vs full-time),yes,U-G,-3.4300810793764804,-14.257963729869317,7.397801571116354,0.5346773902002881
acc,Employment (part-time vs full-time),yes,S-G,-0.34583747318962105,-12.229635113850104,11.537960167470862,0.9545148616243061
acc,"Ethnicity (non-White vs White, crude)",no,U-G,-4.303390658278783,-11.022881654240857,2.4161003376832912,0.20939614108982507
acc,"Ethnicity (non-White vs White, crude)",no,S-G,2.7410441852985663,-3.6213639327969505,9.103452303394082,0.3984520272246741
acc,"Ethnicity (non-White vs White, crude)",yes,U-G,-1.875510030282377,-16.736552414062466,12.985532353497714,0.8046345919310458
acc,"Ethnicity (non-White vs White, crude)",yes,S-G,-0.7757175342922334,-14.58513712815751,13.033702059573043,0.9123322888231252
acc,IT/software/data occupation (vs other),no,U-G,-3.941767253705255,-10.627162804567151,2.743628297156641,0.24783998741523683
acc,IT/software/data occupation (vs other),no,S-G,3.4940825193687313,-3.296722080157298,10.28488711889476,0.3132321909463952
acc,IT/software/data occupation (vs other),yes,U-G,-3.097420162539218,-19.32178891304035,13.126948587961913,0.7082705098029669
acc,IT/software/data occupation (vs other),yes,S-G,-3.9797116068826646,-17.52866131186138,9.569238098096054,0.5648199176457742
acc,"Prolific approvals (per log10 unit, aux.)",log10appr~2.16,U-G,-4.7488045228387215,-12.755065067536034,3.257456021858592,0.2450218805494866
acc,"Prolific approvals (per log10 unit, aux.)",log10appr~2.16,S-G,-0.3151016883405626,-6.603810682747166,5.973607306066041,0.9217688438065762
acc,"Prolific approvals (per log10 unit, aux.)",log10appr~2.76,U-G,-2.341371799385382,-9.46413729996967,4.781393701198905,0.5193985205301062
acc,"Prolific approvals (per log10 unit, aux.)",log10appr~2.76,S-G,4.606923110287213,-3.7623111191504424,12.97615733972487,0.2806410152345856
