outcome,moderator,level,contrast,est_pp,ci_lo,ci_hi,p
idk_rate,Age (per +10 years),age~29,U-G,2.80739525635117,-2.2862766675354953,7.9010671802378365,0.2800348454336983
idk_rate,Age (per +10 years),age~29,S-G,0.22224800116285182,-3.2548645564409258,3.699360558766629,0.9003052053545259
idk_rate,Age (per +10 years),age~42,U-G,7.0884998144079,2.4317977133594972,11.745201915456303,0.0028498530992241314
idk_rate,Age (per +10 years),age~42,S-G,-0.9724277683372898,-3.5993251682140603,1.6544696315394805,0.46811981941577063
idk_rate,Sex (female vs male),no,U-G,5.693864663987538,0.9482017203947861,10.43952760758029,0.018694254614275183
idk_rate,Sex (female vs male),no,S-G,0.2658908685979744,-2.4881940662508573,3.0199758034468056,0.8499179529254599
idk_rate,Sex (female vs male),yes,U-G,7.075493642435604,0.807274938678304,13.343712346192904,0.02694007800796929
idk_rate,Sex (female vs male),yes,S-G,0.11227739257692612,-4.894887139761125,5.119441924914977,0.9649450930008134
idk_rate,First language English (vs other),no,U-G,2.0319024254474285,-2.4974672115677095,6.561272062462567,0.3792648634307303
idk_rate,First language English (vs other),no,S-G,-1.9183462675243783,-4.849509726837085,1.0128171917883289,0.1995868901607848
idk_rate,First language English (vs other),yes,U-G,9.138581619531983,3.4207882689985656,14.8563749700654,0.001732931237188461
idk_rate,First language English (vs other),yes,S-G,0.9940915094898105,-3.188487775626956,5.176670794606577,0.6413350249441845
idk_rate,Employment (part-time vs full-time),no,U-G,5.081841026172732,0.45716736439216854,9.706514687953296,0.031262590996469816
idk_rate,Employment (part-time vs full-time),no,S-G,0.050508842432313315,-2.9807749986348786,3.081792683499505,0.9739473580934301
idk_rate,Employment (part-time vs full-time),yes,U-G,6.938077901820772,-0.08503154776027949,13.961187351401822,0.05283905663569534
idk_rate,Employment (part-time vs full-time),yes,S-G,-1.4737813822615,-6.657006399091253,3.7094436345682533,0.5773294439111119
idk_rate,"Ethnicity (non-White vs White, crude)",no,U-G,5.338238522738494,0.4596613567471153,10.216815688729872,0.031982240001937945
idk_rate,"Ethnicity (non-White vs White, crude)",no,S-G,-1.8681071910589746,-4.737815150059882,1.0016007679419323,0.20199549981476161
idk_rate,"Ethnicity (non-White vs White, crude)",yes,U-G,7.304589201113676,0.7970720065924836,13.812106395634869,0.027804780766045267
idk_rate,"Ethnicity (non-White vs White, crude)",yes,S-G,2.833646707213779,-2.153108937817198,7.820402352244756,0.2653996712016653
idk_rate,IT/software/data occupation (vs other),no,U-G,5.86128657848983,1.7830839419436584,9.939489215036001,0.004848882139411979
idk_rate,IT/software/data occupation (vs other),no,S-G,-0.718157874900603,-3.4323956314367363,1.9960798816355305,0.604050021670699
idk_rate,IT/software/data occupation (vs other),yes,U-G,6.135865795296971,-4.1003565727065645,16.372088163300507,0.2400527729148999
idk_rate,IT/software/data occupation (vs other),yes,S-G,0.7934583594768057,-5.862643959618334,7.449560678571945,0.8152623646916881
idk_rate,"Prolific approvals (per log10 unit, aux.)",log10appr~2.16,U-G,4.866731129588886,-0.44444476449478076,10.177907023672553,0.07250212830834347
idk_rate,"Prolific approvals (per log10 unit, aux.)",log10appr~2.16,S-G,-0.9095633110043317,-3.796214534383871,1.9770879123752072,0.5368583374556737
idk_rate,"Prolific approvals (per log10 unit, aux.)",log10appr~2.76,U-G,6.6866022503959375,2.503223083997383,10.869981416794491,0.0017317426723637628
idk_rate,"Prolific approvals (per log10 unit, aux.)",log10appr~2.76,S-G,0.19638383791361946,-2.7195938954977446,3.1123615713249833,0.8949853255846706
